Level,Name,Location,
"60","(You're Not) Having My Mitelings","The Diadem - Northwestern Pavilion (19.0,9.1)"
"60","(You're) Killing My Mitelings","The Diadem"
"60","Am I Blue","The Diadem"
"60","Any Which Way","The Diadem - Northwestern Pavilion (14.9,14.1)"
"60","Battle Toads","The Diadem - Southeastern Pavilion (24.2,33.6)"
"60","Blacker Than The Foulest Witch","The Diadem"
"60","Blood Wings","The Diadem"
"60","Bounty Hunter","The Diadem"
"60","Can You Smell The Blood Tonight","The Diadem"
"60","Cloudy with a Chance of...Thal's Balls","The Diadem - Northwestern Pavilion (13.1,9.4)"
"60","Crawllateral Damage","The Diadem"
"60","Embrace Of The Serpent","The Diadem"
"60","Excitable Boys","The Diadem - Northwestern Pavilion (11.6,17.4)"
"60","Fly By Day","The Diadem"
"60","Forest For The Trees","The Diadem"
"60","Good-bye Solo","The Diadem"
"60","Hail to the E","The Diadem - Northwestern Pavilion (21.3,8.9)"
"60","Hard of Heren","The Diadem - Northwestern Pavilion (14.6,10.9)"
"60","How I Met Your Marid","The Diadem"
"60","I Can Wring A Rainbow","The Diadem"
"60","I'm The Scatman","The Diadem"
"60","Late Night Torama Queen","The Diadem"
"60","Late-night Snack","The Diadem"
"60","Loose Endymions","The Diadem"
"60","Lords of the Sting","The Diadem - Northwestern Pavilion (13.1,9.4)"
"60","Lunantishee In The Sky","The Diadem"
"60","Mad Ventures In Retainer-sitting","The Diadem - Northwestern Pavilion (21.3,8.9)"
"60","NOT THE TREES","The Diadem"
"60","Nice Pirates","The Diadem"
"60","On The Inside","The Diadem"
"60","Prepare For Gory","The Diadem"
"60","Pretty Flies","The Diadem"
"60","Purple Haze","The Diadem"
"60","Root Of The Problem","The Diadem"
"60","Secret Of The Lost Legend","The Diadem"
"60","Shard To Get","The Diadem - Southeastern Pavilion  (20.2,32.3)"
"60","Slaughter Of The Lost Legend","The Diadem"
"60","Sticking Celphies","The Diadem"
"60","The Other White Meat","The Diadem"
"60","The Pelican Grief","The Diadem"
"60","Tightropen","The Diadem"
"60","Westwhirled","The Diadem - Northeastern Pavilion (33.5,16.4)"
"60","Where's The Beef","The Diadem"
"60","Whiplash","The Diadem - Southeastern Pavilion (22.8,33.1)"
"60","Who'll Stop The Sovereign","The Diadem"
"60","Who's For Dinner","The Diadem"
"60","Wild Hunt","The Diadem - Northwestern Pavilion (15.7,13.6)"
